Index,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1404,Brazil,2024,Ransomware,IT,74.06,813472,Hacker Group,Zero-day,VPN,17
1405,France,2021,Ransomware,Banking,27.1,199832,Nation-state,Weak Passwords,Antivirus,54
1406,India,2017,Malware,IT,22.04,210495,Insider,Weak Passwords,Firewall,18
1407,China,2023,Man-in-the-Middle,Education,49.53,923445,Hacker Group,Unpatched Software,VPN,42
1408,Japan,2019,Man-in-the-Middle,Education,1.72,407485,Insider,Unpatched Software,AI-based Detection,22
1409,Russia,2020,Man-in-the-Middle,Government,97.39,517452,Unknown,Zero-day,Firewall,9
1410,Germany,2017,Ransomware,Retail,68.73,509742,Nation-state,Zero-day,Antivirus,43
1411,USA,2019,Malware,Healthcare,57.85,412236,Nation-state,Weak Passwords,Antivirus,36
1412,Germany,2017,Malware,Healthcare,6.58,592988,Hacker Group,Unpatched Software,VPN,43
1413,USA,2019,Ransomware,Banking,47.25,451510,Hacker Group,Zero-day,VPN,45
1414,India,2021,Ransomware,Education,20.26,144065,Insider,Unpatched Software,Firewall,62
1415,India,2024,DDoS,Telecommunications,85.02,700440,Hacker Group,Weak Passwords,VPN,23
1416,France,2024,Phishing,IT,64.54,255689,Unknown,Zero-day,Antivirus,54
1417,Japan,2017,Malware,Retail,74.01,750473,Unknown,Zero-day,Antivirus,41
1418,UK,2015,Malware,Government,68.8,284512,Nation-state,Social Engineering,Antivirus,23
1419,Japan,2021,Malware,Education,76.8,607544,Nation-state,Weak Passwords,Encryption,56
1420,UK,2016,Ransomware,Banking,92.39,61764,Hacker Group,Social Engineering,Encryption,38
1421,USA,2023,DDoS,Telecommunications,11.73,489053,Nation-state,Zero-day,Antivirus,29
1422,China,2020,SQL Injection,Telecommunications,29.31,8884,Nation-state,Weak Passwords,Firewall,23
1423,Germany,2017,Ransomware,Retail,91.67,80135,Hacker Group,Social Engineering,AI-based Detection,35
1424,USA,2022,Phishing,Retail,47.66,20064,Insider,Social Engineering,Encryption,61
1425,India,2022,SQL Injection,Telecommunications,95.74,849940,Insider,Weak Passwords,AI-based Detection,61
1426,Japan,2021,Ransomware,Government,79.25,437649,Hacker Group,Weak Passwords,Firewall,10
1427,Australia,2020,SQL Injection,Telecommunications,43.69,269137,Unknown,Unpatched Software,AI-based Detection,18
1428,UK,2018,Malware,Telecommunications,23.27,233460,Insider,Unpatched Software,Antivirus,11
1429,UK,2015,SQL Injection,Banking,6.96,474585,Nation-state,Unpatched Software,Firewall,34
1430,Russia,2024,SQL Injection,Government,41.65,674211,Hacker Group,Weak Passwords,Firewall,54
1431,Brazil,2020,Phishing,Healthcare,18.79,267178,Nation-state,Social Engineering,Firewall,56
1432,Russia,2022,DDoS,Healthcare,58.93,104121,Hacker Group,Zero-day,Firewall,15
1433,UK,2020,Ransomware,IT,83.29,217598,Hacker Group,Unpatched Software,Encryption,24
1434,China,2024,Ransomware,Government,65.96,44082,Nation-state,Social Engineering,VPN,48
1435,India,2018,Phishing,Banking,71.58,31733,Hacker Group,Unpatched Software,Encryption,49
1436,Australia,2022,Man-in-the-Middle,Banking,34.16,346224,Nation-state,Zero-day,Encryption,64
1437,Australia,2015,DDoS,IT,61.01,419127,Unknown,Social Engineering,Firewall,26
1438,USA,2024,Man-in-the-Middle,Education,53.59,810539,Unknown,Weak Passwords,Antivirus,22
1439,USA,2020,DDoS,Retail,11.79,692784,Hacker Group,Unpatched Software,Firewall,2
1440,USA,2020,SQL Injection,Retail,16.98,315050,Unknown,Unpatched Software,Encryption,8
1441,India,2016,SQL Injection,IT,29.24,786464,Unknown,Weak Passwords,Encryption,38
1442,UK,2023,Man-in-the-Middle,IT,20.35,140061,Hacker Group,Weak Passwords,AI-based Detection,42
1443,Brazil,2021,SQL Injection,IT,34.32,673923,Hacker Group,Unpatched Software,Encryption,3
1444,Japan,2017,SQL Injection,Government,35.88,221051,Insider,Zero-day,Encryption,18
1445,Russia,2017,SQL Injection,Banking,33.84,442940,Nation-state,Unpatched Software,AI-based Detection,7
1446,Russia,2024,SQL Injection,Telecommunications,17.21,677688,Nation-state,Zero-day,Encryption,31
1447,Russia,2017,Ransomware,Education,95.08,679860,Unknown,Social Engineering,Encryption,66
1448,Germany,2016,Phishing,Retail,27.85,963983,Unknown,Zero-day,Encryption,45
1449,UK,2020,DDoS,Retail,18.52,125100,Unknown,Weak Passwords,VPN,61
1450,China,2016,DDoS,Education,81.31,815317,Hacker Group,Social Engineering,Antivirus,72
1451,China,2020,Man-in-the-Middle,Retail,34.82,500252,Nation-state,Zero-day,Antivirus,29
1452,India,2018,DDoS,Education,55.3,512953,Unknown,Weak Passwords,Firewall,57
1453,India,2023,Phishing,IT,88.71,337377,Hacker Group,Social Engineering,AI-based Detection,23
1454,India,2024,DDoS,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55
1455,USA,2023,Malware,Retail,50.02,578310,Nation-state,Weak Passwords,Antivirus,15
1456,France,2022,Man-in-the-Middle,Telecommunications,12.96,255574,Insider,Social Engineering,Firewall,69
1457,China,2023,Phishing,IT,43.58,169152,Nation-state,Unpatched Software,Encryption,49
1458,USA,2020,Man-in-the-Middle,IT,33.22,216472,Unknown,Zero-day,Encryption,55
1459,Japan,2020,Phishing,Retail,38.96,370096,Nation-state,Weak Passwords,Encryption,23
1460,India,2020,Phishing,Telecommunications,30.14,742555,Insider,Zero-day,Firewall,57
1461,Russia,2020,Man-in-the-Middle,IT,21.72,870019,Insider,Social Engineering,AI-based Detection,5
1462,Australia,2022,Malware,IT,93.2,941679,Hacker Group,Social Engineering,Antivirus,43
1463,France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11
1464,Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23
1465,India,2022,SQL Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1
1466,Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3
1467,Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26
1468,USA,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61
1469,Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9
1470,India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30
1471,Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45
1472,Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51
1473,France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55
1474,UK,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59
1475,Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10
1476,China,2020,Man-in-the-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15
1477,Germany,2017,Ransomware,Healthcare,32,175755,Insider,Weak Passwords,Firewall,30
1478,Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19
1479,Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10
1480,Australia,2024,DDoS,Government,95.28,583925,Insider,Zero-day,Encryption,70
1481,Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72
1482,Brazil,2015,SQL Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49
1483,France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7
1484,Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59
1485,UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20
1486,France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48
1487,China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8
1488,USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34
1489,Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51
1490,India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66
1491,Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54
1492,Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50
1493,China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2
1494,Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39
1495,Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58
1496,Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69
1497,India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15
1498,Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54
1499,China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60
1500,USA,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57
1501,Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34
1502,India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16
1503,UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21
1504,India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23
1505,Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1
1506,Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4
1507,Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62
1508,France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15
1509,Germany,2020,SQL Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16
1510,India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1
1511,Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59
1512,China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10
1513,France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69
1514,Brazil,2019,SQL Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38
1515,China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38
1516,India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21
1517,France,2017,Man-in-the-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4
1518,Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65
1519,France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21
1520,China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46
1521,Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53
1522,Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59
1523,USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68
1524,Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25
1525,USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20
1526,Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47
1527,USA,2018,DDoS,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48
1528,France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47
1529,Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20
1530,USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60
1531,Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31
1532,UK,2020,Man-in-the-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35
1533,Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15
1534,India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40
1535,France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21
1536,India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13
1537,UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64
1538,China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27
1539,USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42
1540,India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32
1541,India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37
1542,China,2024,SQL Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52
1543,China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65
1544,Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63
1545,Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72
1546,USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14
1547,Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40
1548,Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30
1549,Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52
1550,Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15
1551,Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70
1552,France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51
1553,Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55
1554,UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64
1555,China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50
1556,France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26
1557,Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10
1558,France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34
1559,India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39
1560,Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44
1561,Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16
1562,USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7
1563,France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13
1564,Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33
1565,USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5
1566,UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14
1567,Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35
1568,USA,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37
1569,China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10
1570,Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15
1571,Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70
1572,Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24
1573,Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17
1574,Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72
1575,France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13
1576,Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43
1577,Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20
1578,Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36
1579,Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21
1580,UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72
1581,UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71
1582,China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4
1583,India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23
1584,Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35
1585,China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26
1586,China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53
1587,Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48
1588,France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28
1589,Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45
1590,China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17
1591,Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38
1592,USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55
1593,Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56
1594,India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37
1595,Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62
1596,China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17
1597,India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66
1598,Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45
1599,China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61
1600,India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17
1601,China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71
1602,Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9
1603,India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11
1604,Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22
1605,China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11
1606,India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18
1607,Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58
1608,UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28
1609,Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21
1610,China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17
1611,China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59
1612,France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41
1613,Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71
1614,USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3
1615,UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63
1616,USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27
1617,China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11
1618,Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3
1619,France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32
1620,UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71
1621,Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61
1622,UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47
1623,UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41
1624,USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46
1625,Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13
1626,Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12
1627,USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47
1628,France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68
1629,Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24
1630,Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2
1631,France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42
1632,Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7
1633,Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25
1634,Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2
1635,Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50
1636,Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59
1637,Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49
1638,UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69
1639,USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23
1640,USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35
1641,France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19
1642,Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62
1643,Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29
1644,France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31
1645,China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12
1646,China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8
1647,UK,2020,Man-in-the-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72
1648,Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13
1649,Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1
1650,France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41
1651,France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10
1652,Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49
1653,UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7
1654,USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67
1655,Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54
1656,China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32
1657,China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5
1658,UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7
1659,France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38
1660,France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29
1661,Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35
1662,China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69
1663,Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7
1664,Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28
1665,Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65
1666,UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56
1667,China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71
1668,Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13
1669,Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2
1670,UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59
1671,UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55
1672,China,2023,DDoS,Healthcare,97.15,734819,Unknown,Unpatched Software,AI-based Detection,50
1673,Australia,2024,DDoS,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4
1674,UK,2018,Man-in-the-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19
1675,Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4
1676,China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15
1677,USA,2019,DDoS,Telecommunications,43.29,266748,Unknown,Unpatched Software,Antivirus,30
1678,USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5
1679,USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4
1680,Brazil,2017,DDoS,Healthcare,62.74,460264,Unknown,Social Engineering,Firewall,9
1681,USA,2017,DDoS,Government,96.89,794147,Unknown,Unpatched Software,Antivirus,4
1682,France,2015,SQL Injection,IT,43.86,72222,Unknown,Weak Passwords,Firewall,64
1683,France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53
1684,Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16
1685,Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58
1686,UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11
1687,UK,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31
1688,India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62
1689,China,2023,DDoS,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46
1690,Australia,2020,SQL Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6
1691,India,2019,SQL Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72
1692,Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61
1693,UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63
1694,Australia,2022,SQL Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33
1695,Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21
1696,USA,2015,Man-in-the-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36
1697,France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14
1698,Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28
